prepared_predicted,prediction_level,per_month,Naics_orig,State_orig,excess_low_lbs_orig,excess_high_lbs_orig,Name,Naics,Address,City,County,State,zip
60617,High,5051,Limited-Service Restaurants,KS,19775,19775,Bob Roche,Limited-Service Restaurants,228 W Maple St,Columbus,Cherokee,KS,66725
13922,In-Range,1160,Full-Service Restaurants,KS,22246,22246,Bobby D'S Merchant Street Bbq Inc,Full-Service Restaurants,607 Merchant St,Emporia,Lyon,KS,66801
60617,High,5051,Limited-Service Restaurants,KS,37851,37851,Bobo's Drive-In,Limited-Service Restaurants,2300 SW 10th Ave,Topeka,Shawnee,KS,66604
60617,High,5051,Limited-Service Restaurants,KS,3167,21000,Bocco Deli,Limited-Service Restaurants,6905 E Newbury Cir,Wichita,Sedgwick,KS,67226
60617,High,5051,Limited-Service Restaurants,KS,4215,33000,Bogeys,Limited-Service Restaurants,1417 S 9th St,Salina,Saline,KS,67401
13922,In-Range,1160,Full-Service Restaurants,KS,18882,33920,Bohemio Mexican Restaurant,Full-Service Restaurants,542 Southwest Blvd,Kansas City,Wyandotte,KS,66103
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Bonanza Inc,Full-Service Restaurants,3500 N Rock Rd Bldg 1000,Wichita,Sedgwick,KS,67226
13922,High,1160,Full-Service Restaurants,KS,2760,3392,Bonanza Inc,Full-Service Restaurants,13000 W US Highway 54,Wichita,Sedgwick,KS,67235
13922,In-Range,1160,Full-Service Restaurants,KS,2442,16960,Bonanza Partners of Kc LLC,Full-Service Restaurants,8016 State Line Rd,Shawnee Mission,Johnson,KS,66208
13922,In-Range,1160,Full-Service Restaurants,KS,3850,23744,Bone-In Bbq LLC,Full-Service Restaurants,8100 E 22nd St N Bldg 900,Wichita,Sedgwick,KS,67226
13922,In-Range,1160,Full-Service Restaurants,KS,3167,27136,Boulevard Grill,Full-Service Restaurants,200 McDonald Dr,Lawrence,Douglas,KS,66044
13922,In-Range,1160,Full-Service Restaurants,KS,9980,40704,Bourbon & Baker,Full-Service Restaurants,312 Poyntz Ave,Manhattan,Riley,KS,66502
13922,In-Range,1160,Full-Service Restaurants,KS,16719,30528,Boyer's Artisan Meatballs,Full-Service Restaurants,5248 Gleason Rd,Shawnee,Johnson,KS,66226
60617,High,5051,Limited-Service Restaurants,KS,5318,5318,Brad Fuller,Limited-Service Restaurants,7990 E Central Ave,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,14342,27000,Braum's Ice Cream & Burger Restaurant,Limited-Service Restaurants,1252 N Greenwich Rd,Wichita,Sedgwick,KS,67206
60617,High,5051,Limited-Service Restaurants,KS,3167,21000,Braum's Ice Cream & Dairy,Limited-Service Restaurants,3641 N Rock Rd,Wichita,Sedgwick,KS,67226
60617,High,5051,Limited-Service Restaurants,KS,2091,2091,Braum's Ice Cream & Dairy,Limited-Service Restaurants,545 N Carriage Pkwy,Wichita,Sedgwick,KS,67208
60617,High,5051,Limited-Service Restaurants,KS,3178,18000,Braum's Ice Cream Dairy,Limited-Service Restaurants,201 N Seneca St,Wichita,Sedgwick,KS,67203
60617,High,5051,Limited-Service Restaurants,KS,1505,3000,Braums Ice Cream Dairy Stores,Limited-Service Restaurants,801 N Summit St,Arkansas City,Cowley,KS,67005
60617,High,5051,Limited-Service Restaurants,KS,2879,21000,Bravos Mexican Grill,Limited-Service Restaurants,7200 W 121st St,Overland Park,Johnson,KS,66213
60617,High,5051,Limited-Service Restaurants,KS,16912,16912,Breadeaux Pizza,Limited-Service Restaurants,13240 Cedarwood Dr,Saint George,Pottawatomie,KS,66535
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Breannas Cafe,Full-Service Restaurants,203 N Aztec St,Montezuma,Gray,KS,67867
60617,In-Range,5051,Limited-Service Restaurants,KS,107242,129000,Brend's Incorporated,Limited-Service Restaurants,20019 W Kellogg Dr,Goddard,Sedgwick,KS,67052
60617,High,5051,Limited-Service Restaurants,KS,25111,54000,Brent Stuckey,Limited-Service Restaurants,2701 N Sterling Rd,Abbyville,Reno,KS,67510
60617,High,5051,Limited-Service Restaurants,KS,19709,45000,Brewco Coffee House,Limited-Service Restaurants,142 N Main St,El Dorado,Butler,KS,67042
60617,High,5051,Limited-Service Restaurants,KS,6378,15000,Brick's Restaurant,Limited-Service Restaurants,301 S Summit St,Arkansas City,Cowley,KS,67005
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Bricks Rockin Bbq LLC,Full-Service Restaurants,4115 Covenant Dr,Hays,Ellis,KS,67601
13922,In-Range,1160,Full-Service Restaurants,KS,29723,54272,Bristol Bar & Grill,Full-Service Restaurants,5400 W 119th St,Leawood,Johnson,KS,66209
60617,High,5051,Limited-Service Restaurants,KS,8316,27000,Broadway Market Coffee Shop,Limited-Service Restaurants,105 S Broadway Ave,Sterling,Rice,KS,67579
13922,In-Range,1160,Full-Service Restaurants,KS,5455,27136,Brobeck's Barbecue,Full-Service Restaurants,4615 Indian Creek Pkwy,Overland Park,Johnson,KS,66207
60617,High,5051,Limited-Service Restaurants,KS,3167,24000,Brooklyn Boyz Pizzeria LLC,Limited-Service Restaurants,2259 S 9th St,Salina,Saline,KS,67401
60617,In-Range,5051,Limited-Service Restaurants,KS,15874,90000,Brown Bottle LLC,Limited-Service Restaurants,808 E Douglas Ave,Wichita,Sedgwick,KS,67202
2921,In-Range,243,Caterers,KS,1061,13568,Brownstone,Caterers,4020 NW 25th St,Topeka,Shawnee,KS,66618
13922,In-Range,1160,Full-Service Restaurants,KS,20435,37312,Brrn Restaurant Group LLC,Full-Service Restaurants,12424 W 62nd Ter,Shawnee,Johnson,KS,66216
13922,In-Range,1160,Full-Service Restaurants,KS,16719,30528,Bryant E Parker,Full-Service Restaurants,9909 Roe Ave,Overland Park,Johnson,KS,66207
13922,High,1160,Full-Service Restaurants,KS,2879,2879,B'S Bbq & Soulfood,Full-Service Restaurants,2110 N 18th St,Kansas City,Wyandotte,KS,66104
13922,High,1160,Full-Service Restaurants,KS,3906,6784,BTS Enterprises Inc.,Full-Service Restaurants,11801 College Blvd,Overland Park,Johnson,KS,66210
13922,In-Range,1160,Full-Service Restaurants,KS,3167,27136,Buchanans Mexican Bar,Full-Service Restaurants,7520 Shawnee Mission Pkwy,Overland Park,Johnson,KS,66202
13922,In-Range,1160,Full-Service Restaurants,KS,20770,37312,Buenos Tacos,Full-Service Restaurants,8050 Leavenworth Rd,Kansas City,Wyandotte,KS,66109
60617,High,5051,Limited-Service Restaurants,KS,52219,52219,Buffalo Wild Wings,Limited-Service Restaurants,101 W 29th St Ste A,Pittsburg,Crawford,KS,66762
60617,High,5051,Limited-Service Restaurants,KS,2879,21000,Buffalo Wild Wings,Limited-Service Restaurants,13749 Metcalf Ave,Overland Park,Johnson,KS,66223
60617,High,5051,Limited-Service Restaurants,KS,2667,18000,Buffalo Wild Wings,Limited-Service Restaurants,1710 N Waldron St,Hutchinson,Reno,KS,67502
60617,In-Range,5051,Limited-Service Restaurants,KS,70593,70593,Buffalo Wild Wings Grill and Bar,Limited-Service Restaurants,12110 S Strang Line Rd,Olathe,Johnson,KS,66062
60617,High,5051,Limited-Service Restaurants,KS,32422,39000,Buffalo Wild Wings Inc.,Limited-Service Restaurants,1530 Larue St Ste 100,Garden City,Finney,KS,67846
60617,In-Range,5051,Limited-Service Restaurants,KS,92278,111000,Buffalo Wild Wings Inc.,Limited-Service Restaurants,1918 N Rock Rd Ste 100,Derby,Sedgwick,KS,67037
60617,High,5051,Limited-Service Restaurants,KS,29928,36000,Buffalo Wild Wings Inc.,Limited-Service Restaurants,5041 S 4th St,Leavenworth,Leavenworth,KS,66048
60617,High,5051,Limited-Service Restaurants,KS,4495,21000,Buffalos Grill Pizzaria,Limited-Service Restaurants,22055 Onaga Rd N,Onaga,Pottawatomie,KS,66521
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Bull Creek Bbq LLC,Full-Service Restaurants,31447 Santa Fe Rd,Paola,Miami,KS,66071
