Name,Naics,Address,City,County,State,zip,excess_low_lbs,excess_high_lbs,UniqueID,prepared
Graham Restaurant Group,Limited-Service Restaurants,13021 Kansas Ave,Bonner Springs,Wyandotte,KS,66012,31350,39000,RFS308674,0
Grand Wok,Full-Service Restaurants,15810 Shwnee Mission Pkwy,Shawnee,Johnson,KS,66217,35297,64448,RFS85896,0
Grandma Wock's Catering LLC,Caterers,8540 SW 61st St,Topeka,Shawnee,KS,66610,7014,7014,RFS22585,0
Grandpas Burger Box,Limited-Service Restaurants,106 W 2nd St,Tonganoxie,Leavenworth,KS,66086,16913,33000,RFS291560,0
Grandstand Burgers,Limited-Service Restaurants,812 S Silver St,Paola,Miami,KS,66071,16665,36000,RFS434954,0
Granite City Food & Brewery Ltd.,Full-Service Restaurants,2661 N Maize Rd,Wichita,Sedgwick,KS,67205,9335,9335,RFS143006,0
Grannies,Full-Service Restaurants,301 N Cedar St,Hillsboro,Marion,KS,67063,9618,30528,RFS154856,0
Granny B'S Family Diner,Full-Service Restaurants,2930 Main St,Parsons,Labette,KS,67357,13257,37312,RFS151513,0
Great China Restaurant,Full-Service Restaurants,2001 W Main St,Independence,Montgomery,KS,67301,18915,24000,RFS110437,0
Great Taste Inc,Full-Service Restaurants,405 E Main St,Gardner,Johnson,KS,66030,18218,44096,RFS186861,0
Great Wall,Full-Service Restaurants,6254 E 37th St N Ste 160,Bel Aire,Sedgwick,KS,67220,3484,30528,RFS234081,0
Great Wall Chinese Restaurant,Full-Service Restaurants,641 S Broadway Blvd,Salina,Saline,KS,67401,5168,27136,RFS236598,0
Great Wall Chinese Restaurant,Full-Service Restaurants,1022 W 8th St,Wellington,Sumner,KS,67152,16976,44096,RFS33376,0
Great Wall Chinese Restaurant,Full-Service Restaurants,13303 W Maple St Ste 105,Wichita,Sedgwick,KS,67235,5996,30528,RFS67453,0
Great Wall Restaurant,Full-Service Restaurants,407 E Pawnee St,Wichita,Sedgwick,KS,67211,19122,40704,RFS187397,0
Great Wall Rock Rd,Full-Service Restaurants,2240 N Rock Rd Ste 104,Wichita,Sedgwick,KS,67226,22309,47488,RFS125555,0
Greek House Chefs Inc,Full-Service Restaurants,1301 W Campus Rd,Lawrence,Douglas,KS,66044,3166,13568,RFS64435,0
Green Lantern,Full-Service Restaurants,15061 Metcalf Ave,Overland Park,Johnson,KS,66223,6618,6618,RFS81039,0
Green Stone Coffee Company LLC,Limited-Service Restaurants,2008 Palmer CT,Lawrence,Douglas,KS,66047,18475,36000,RFS338461,0
Grimaldis Pizzeria,Limited-Service Restaurants,5601 W 135th St,Overland Park,Johnson,KS,66223,24150,39000,RFS409186,0
Grinder Man,Limited-Service Restaurants,101 S Summit St,Arkansas City,Cowley,KS,67005,9709,9709,RFS287125,0
Grinders Pizza,Limited-Service Restaurants,10240 Pflumm Rd,Lenexa,Johnson,KS,66215,12011,36000,RFS288748,0
Grounded Mobile Coffee LLC,Limited-Service Restaurants,21707 W 95th Ter,Lenexa,Johnson,KS,66220,2879,2879,RFS345377,0
Groundhouse Coffee,Limited-Service Restaurants,103 S Elm St,Gardner,Johnson,KS,66030,4522,4522,RFS289197,0
Groundhouse South,Limited-Service Restaurants,18855 S Gardner Rd,Gardner,Johnson,KS,66030,16719,27000,RFS333393,0
Grumpy's Grumpy's Steakhouse and Bar,Full-Service Restaurants,130 W A Ave,Kingman,Kingman,KS,67068,6769,6769,RFS63973,0
Gt. Bend Coffee L.L.C.,Limited-Service Restaurants,376 Grove Ter,Great Bend,Barton,KS,67530,12892,27000,RFS382085,0
Guadalajara Mexican Restaurant,Full-Service Restaurants,1620 S Broadway St,Pittsburg,Crawford,KS,66762,2284,10176,RFS88932,0
Guo's Kitchen Inc,Full-Service Restaurants,427 SE 10th St,Newton,Harvey,KS,67114,11303,30528,RFS193446,0
Gus's Restaurant LLC,Full-Service Restaurants,2130 220th St,Robinson,Brown,KS,66532,3150,13568,RFS119376,0
Gusto LLC,Limited-Service Restaurants,5435 Johnson Dr,Shawnee Mission,Johnson,KS,66205,6188,36000,RFS407389,0
Gyroville,Full-Service Restaurants,2855 SW Wanamaker Rd C,Topeka,Shawnee,KS,66614,5298,27136,RFS149257,0
Habanero,Full-Service Restaurants,104 S Desmet Ln Ste 10,Saint Marys,Pottawatomie,KS,66536,4606,23744,RFS35536,0
Habanero Grill,Full-Service Restaurants,7769 Quivira Rd,Lenexa,Johnson,KS,66216,16719,30528,RFS256349,0
Hall Banquet Benton,Caterers,14399 SW 20th St,Benton,Butler,KS,67017,6261,33920,RFS4680,0
Hall Cascadia,Full-Service Restaurants,8500 W 151st St,Shawnee Mission,Johnson,KS,66223,11146,20352,RFS267182,0
Hamburger Heroes,Limited-Service Restaurants,1500 E 61st St N,Park City,Sedgwick,KS,67219,4782,21000,RFS318654,0
Hamburger Paradise LLC,Limited-Service Restaurants,10657 Quail Hill Dr,Ozawkie,Jefferson,KS,66070,15673,15673,RFS291900,0
Hammer Inc,Limited-Service Restaurants,103 E Front St,Bonner Springs,Wyandotte,KS,66012,40285,90000,RFS289101,0
Hangar One Steakhouse,Full-Service Restaurants,5925 W Kellogg Dr,Wichita,Sedgwick,KS,67209,28683,61056,RFS226525,0
Hanna's Corner,Full-Service Restaurants,2605 N Taylor Plz,Garden City,Finney,KS,67846,22689,22689,RFS141113,0
Hanover Pancake House,Full-Service Restaurants,1034 S Kansas Ave,Topeka,Shawnee,KS,66612,42393,42393,RFS34901,0
Happy Eggroll LLC,Full-Service Restaurants,4033 Garden Ln,Cheney,Sedgwick,KS,67025,18957,30528,RFS186425,0
Happy Family Restaurant,Full-Service Restaurants,901 E 4th St,Pittsburg,Crawford,KS,66762,4776,4776,RFS272587,0
Happy Food Co.,Full-Service Restaurants,11880 W 91st St,Overland Park,Johnson,KS,66214,20435,37312,RFS52569,0
Happy Valley LLC,Full-Service Restaurants,2307 Tuttle Creek Blvd A,Manhattan,Riley,KS,66502,7724,37312,RFS128611,0
Harbor Lights Coffeehouse,Limited-Service Restaurants,316 Shawnee St,Leavenworth,Leavenworth,KS,66048,4620,18000,RFS371107,0
Hardees,Limited-Service Restaurants,2053 N Amidon Ave,Wichita,Sedgwick,KS,67203,35057,66000,RFS340847,0
Hardee's,Limited-Service Restaurants,2101 N Rock Rd,Derby,Sedgwick,KS,67037,52374,63000,RFS342719,0
Hardee's,Limited-Service Restaurants,2400 E Kansas Ave,McPherson,McPherson,KS,67460,12343,27000,RFS352425,0
Hardee's Restaurants LLC,Limited-Service Restaurants,10500 Metcalf Ave,Shawnee Mission,Johnson,KS,66212,5285,24000,RFS290918,0
Harry Bhakta,Full-Service Restaurants,453 S Broadway Blvd,Salina,Saline,KS,67401,2277,2277,RFS199648,0
