Year,Naics,State,bread,dairy,dry,meat,prepared,produce,excess_high_lbs,excess_low_lbs,excess_fac_cnt
2019,Limited-Service Restaurants,CA,534714,1425172,1071646,787793,7788824,567583,841419089,412710218,18392
2019,Limited-Service Restaurants,CO,20677,50875,39877,29512,244982,21601,115568791,69189279,3147
2019,Limited-Service Restaurants,CT,42620,134837,73856,51510,646158,41638,71518381,38602401,2268
2019,Limited-Service Restaurants,DE,2648,7395,5289,3620,33630,2739,17085134,9295208,420
2019,Limited-Service Restaurants,FL,70875,180370,129620,98196,836750,70823,659724522,346510369,14737
2019,Limited-Service Restaurants,GA,43159,102211,73677,58882,485333,41816,220508063,113119206,5155
2019,Limited-Service Restaurants,HI,3561,11153,6892,4949,46917,3619,27317273,12762887,580
2019,Limited-Service Restaurants,IA,10498,22992,21383,16149,121343,11841,61302257,31983670,1472
2019,Limited-Service Restaurants,ID,5462,13450,11004,8221,65430,5859,30553843,15462218,981
2019,Limited-Service Restaurants,IL,43569,107982,77859,61702,514309,45813,1019693945,137528561,5791
2019,Limited-Service Restaurants,IN,25684,57558,45837,37221,286027,26548,127757481,65285165,3165
2019,Limited-Service Restaurants,KS,11608,28729,22639,16952,136781,12025,155340632,125560696,1260
2019,Limited-Service Restaurants,KY,19006,43401,33748,27127,211232,19075,116021801,48433295,1994
2019,Limited-Service Restaurants,LA,18197,41237,29004,25101,196137,17086,93794679,50757942,2101
2019,Limited-Service Restaurants,MA,72776,264940,146892,89235,1215022,73604,111658997,60588217,3214
2019,Limited-Service Restaurants,MD,82160,213712,159197,115641,1169862,86398,123324899,68211774,2869
2019,Limited-Service Restaurants,ME,3036,9286,5439,3914,39422,3071,17600846,10398674,463
2019,Limited-Service Restaurants,MI,33679,80545,66432,50419,399863,37201,209633634,99158214,4519
2019,Limited-Service Restaurants,MN,16099,38888,32720,24145,194940,18250,123854824,67336992,2572
2019,Limited-Service Restaurants,MO,23419,53896,44016,34604,266600,24343,125838772,73602367,2622
2019,Limited-Service Restaurants,MS,12487,26929,20996,17989,134648,12293,52086715,25190488,1097
2019,Limited-Service Restaurants,MT,2966,6474,6387,4663,34636,3366,18198863,8984717,519
2019,Limited-Service Restaurants,NC,41635,95536,71323,57591,465172,41177,240036172,99422842,4747
2019,Limited-Service Restaurants,ND,2444,5358,5223,3698,28502,2742,17362927,7698267,356
2019,Limited-Service Restaurants,NE,7678,18523,14524,10853,89618,8250,45508553,20081541,855
2019,Limited-Service Restaurants,NH,3378,11095,6472,4348,46036,3437,16838526,9470438,546
2019,Limited-Service Restaurants,NJ,89152,288485,171406,112493,1389506,86569,178120780,103127183,5291
2019,Limited-Service Restaurants,NM,7217,16753,12798,10481,81651,7333,37040193,17227169,889
2019,Limited-Service Restaurants,NV,12095,31426,23105,17259,145895,12226,51044477,30389549,1266
2019,Limited-Service Restaurants,NY,180925,583667,334519,223930,2788936,177323,443734960,219238864,14597
2019,Limited-Service Restaurants,OH,44443,105434,82429,62894,507203,45668,238278559,133884713,5574
2019,Limited-Service Restaurants,OK,16900,39511,31955,24692,192579,17261,76915488,34090230,1745
2019,Limited-Service Restaurants,OR,54826,155149,114606,77991,823138,58825,93847066,54930083,2517
2019,Limited-Service Restaurants,PA,31307,87852,59997,42738,390987,32203,246147491,121440108,7562
2019,Limited-Service Restaurants,RI,12529,41342,24356,15791,197844,12718,19343948,11134534,559
2019,Limited-Service Restaurants,SC,20811,47236,33885,28436,227982,19862,91339143,45037153,2150
2019,Limited-Service Restaurants,SD,3036,6629,7007,4766,36233,3574,21025273,12699489,388
2019,Limited-Service Restaurants,TN,29416,68294,50282,41765,327567,28788,163324404,74232365,3152
2019,Limited-Service Restaurants,TX,117663,272913,203308,163360,1313625,113530,623814993,332151523,13523
2019,Limited-Service Restaurants,UT,11212,25050,21822,16478,126365,11654,58875500,29096476,1364
2019,Limited-Service Restaurants,VA,31282,79206,56682,43129,366908,31121,145230389,82783748,4036
2019,Limited-Service Restaurants,VT,4932,14322,8797,6503,72419,5182,9242999,5438619,308
2019,Limited-Service Restaurants,WA,90151,241953,189242,131304,1329068,99840,141331042,77433146,3661
2019,Limited-Service Restaurants,WI,17890,36732,32859,27568,196899,19937,110993606,55006410,2228
2019,Limited-Service Restaurants,WV,6541,15505,12305,9459,75007,6752,25949914,14071677,740
2019,Limited-Service Restaurants,WY,2259,5056,4666,3256,25442,2345,7573466,4216005,215
2020,Caterers,AK,8,11,25,19,97,16,764348,298453,36
2020,Caterers,AL,70,105,231,180,901,146,5080187,2268033,212
2020,Caterers,AR,49,73,160,124,622,101,2369076,1060134,95
2020,Caterers,AZ,166,248,545,424,2124,345,11087986,4290133,480
2020,Caterers,CA,3942,5890,12952,10072,2644914,8191,88978698,46515199,2887
2020,Caterers,CO,184,274,603,469,2349,381,11389335,5244687,457
2020,Caterers,CT,460,687,1512,1176,308724,956,10472682,5134245,426
