State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
TX	76548	50	1976.312973	1457.278713		
TX	76549	39	662.256824	312.0613795		
TX	76550	17	241.8403445	112.4313395		
TX	76554	3	74.9371935	53.034469		
TX	76556	1	8.48	2.350029		
TX	76557	2	27.136	11.4166965		
TX	76559	3	36.784	24.0822955		
TX	76567	16	210.7286095	81.7354735		
TX	76570	2	28.832	6.880566		
TX	76571	13	161.017462	74.130569		
TX	76574	29	480.3162685	237.837026		
TX	76577	1	16.96	5.7367695		
TX	76579	2	12.196	1.8180525		
TX	76624	1	1.696	0.725307		
TX	76626	2	25.44	7.06332		
TX	76629	1	15.264	6.864561		
TX	76630	4	44.5650385	24.173919		
TX	76633	4	67.080661	39.339663		
TX	76634	12	161.528868	97.196562		
TX	76635	1	30.528	10.050711		
TX	76636	1	11.872	1.4395095		
TX	76638	6	146.096	86.933779		
TX	76640	1	24	19.952		
TX	76642	6	81.5166625	40.3042365		
TX	76643	13	135.369709	57.1080365		
TX	76645	21	343.7682385	178.3687605		
TX	76648	2	34.5	15.613653		
TX	76651	3	4.956583	3.8443475		
TX	76653	1	20.352	7.85565		
TX	76655	6	152.384661	98.80698		
TX	76656	1	15.264	4.8969525		
TX	76657	11	193.2569985	116.9674825		
TX	76661	7	89.967	17.502821		
TX	76664	2	18.2652985	4.8572535		
TX	76665	4	60.909849	32.122002		
TX	76667	10	137.5837375	63.8859485		
TX	76671	1	11.872	1.4395095		
TX	76673	1	13.568	2.7326475		
TX	76679	1	11.872	1.4395095		
TX	76682	3	37.312	6.307257		
TX	76689	2	27.136	5.0370375		
TX	76691	9	112.526292	47.672295		
TX	76692	14	266.316	69.26073		
TX	76701	16	266.5962655	102.2182065		
TX	76704	4	30.585343	13.052622		
TX	76705	27	463.4153745	242.7202835		
TX	76706	48	907.538664	497.4443875		
TX	76707	9	89.9878305	30.575886		
TX	76708	24	287.743915	106.012826		
TX	76710	58	1817.701521	1203.400127		
TX	76711	14	154.38646	49.324255		
TX	76712	40	789.7383965	454.061089		
TX	76801	26	480.3236645	209.228067		
TX	76802	8	150.748	85.1484545		
